bam_prefix	stanfordUUID	aliquot_id	Case_UUID	Case_ID
BRCA-4DE199D4-0892-462C-BE6E-09413F7EF76E-X018-S03-L029-B1-T1-P045	4DE199D4-0892-462C-BE6E-09413F7EF76E	TCGA-AO-A0J5-01A-31-A615-42	c1442467-d618-435f-8792-b1a18f696f1a	TCGA-AO-A0J5-01A-31-A615-42
LGGx-4E978019-CC7B-42B2-9396-8EEAF92432E4-X019-S03-L053-B1-T2-P045	4E978019-CC7B-42B2-9396-8EEAF92432E4	TCGA-W9-A837-01A-31-A617-42	732df38e-d32c-4d63-ac97-ad655e2e5732	TCGA-W9-A837-01A-31-A617-42
PRAD-4EB4F860-74BC-4A05-95A9-F97827BDA17C-X041-S03-L005-B1-T1-P085	4EB4F860-74BC-4A05-95A9-F97827BDA17C	TCGA-EJ-A46G-01A-21-A644-42	969399cd-47b6-4c0f-8939-3860be3014f9	TCGA-EJ-A46G-01A-21-A644-42
PRAD-4EB4F860-74BC-4A05-95A9-F97827BDA17C-X041-S03-L006-B1-T2-P086	4EB4F860-74BC-4A05-95A9-F97827BDA17C	TCGA-EJ-A46G-01A-21-A644-42	969399cd-47b6-4c0f-8939-3860be3014f9	TCGA-EJ-A46G-01A-21-A644-42
SKCM-4EDE1486-22DD-4DB9-8CB1-B4A058E459D1-X035-S10-L019-B1-T1-P095	4EDE1486-22DD-4DB9-8CB1-B4A058E459D1	TCGA-EB-A3Y6-01A-31-A644-42	8b93bdb4-b64b-4940-a814-f5b3f5ae56cc	TCGA-EB-A3Y6-01A-31-A644-42
BRCA-4F06A0BF-EB31-45EE-BB09-5601502D86FE-X021-S07-L036-B1-T1-P052	4F06A0BF-EB31-45EE-BB09-5601502D86FE	TCGA-BH-A0B5-01A-31-A615-42	9da462b0-93c2-4305-89f6-7199a30399a7	TCGA-BH-A0B5-01A-31-A615-42
BRCA-4F06A0BF-EB31-45EE-BB09-5601502D86FE-X021-S07-L037-B1-T2-P051	4F06A0BF-EB31-45EE-BB09-5601502D86FE	TCGA-BH-A0B5-01A-31-A615-42	9da462b0-93c2-4305-89f6-7199a30399a7	TCGA-BH-A0B5-01A-31-A615-42
LUSC-4F3028BD-96C0-4207-B1CC-6EFC91D9125D-X041-S10-L019-B1-T1-P085	4F3028BD-96C0-4207-B1CC-6EFC91D9125D	TCGA-85-A4CN-01A-31-A644-42	67e92755-396e-4d9a-b737-979eadc743f9	TCGA-85-A4CN-01A-31-A644-42
LUSC-4F3028BD-96C0-4207-B1CC-6EFC91D9125D-X041-S10-L020-B1-T2-P086	4F3028BD-96C0-4207-B1CC-6EFC91D9125D	TCGA-85-A4CN-01A-31-A644-42	67e92755-396e-4d9a-b737-979eadc743f9	TCGA-85-A4CN-01A-31-A644-42
CHOL-500901B3-0753-4499-9A97-91CEF27C355E-X005-S03-L005-B1-T1-P013	500901B3-0753-4499-9A97-91CEF27C355E	TCGA-W7-A93N-01A-21-A617-42	d64d8a1b-b31f-4cbb-a586-5ec7f058f0de	TCGA-W7-A93N-01A-21-A617-42
